"","V1","V2"
"result.789",2001,0
"result.790",2001,0
"result.791",2001,0
"result.792",2001,0
"result.793",2001,0
"result.794",2001,0
"result.795",2001,0
"result.796",2001,0
"result.797",2001,0
"result.798",2001,0
"result.799",2001,0
"result.800",2001,0
"result.801",2001,0
"result.802",2001,0
"result.803",2001,0
"result.804",2001,0
"result.805",2001,0
"result.806",916,0.504016574044041
"result.807",1041,0.339585762783162
"result.808",2001,0
"result.809",2001,0
"result.810",2001,0
"result.811",2001,0
"result.812",2001,0
"result.813",2001,0
"result.814",2001,0
"result.815",171,0.235159923596328
"result.816",2001,0
"result.817",2001,0
"result.818",2001,0
"result.819",2001,0
"result.820",2001,0
"result.821",2001,0
"result.822",2001,0
"result.823",2001,0
"result.824",2001,0
"result.825",2001,0
"result.826",2001,0
"result.827",2001,0
"result.828",2001,0
"result.829",2001,0
"result.830",2001,0
"result.831",2001,0
"result.832",2001,0
"result.833",2001,0
"result.834",2001,0
"result.835",2001,0
"result.836",2001,0
"result.837",2001,0
"result.838",2001,0
"result.839",2001,0
"result.840",2001,0
"result.841",2001,0
"result.842",2001,0
"result.843",2001,0
"result.844",2001,0
"result.845",2001,0
"result.846",2001,0
"result.847",2001,0
"result.848",2001,0
"result.849",2001,0
"result.850",2001,0
"result.851",2001,0
"result.852",2001,0
"result.853",2001,0
"result.854",2001,0
"result.855",2001,0
"result.856",2001,0
"result.857",2001,0
"result.858",2001,0
"result.859",2001,0
"result.860",2001,0
"result.861",2001,0
"result.862",2001,0
"result.863",1021,0.625836264864514
"result.864",2001,0
"result.865",2001,0
"result.866",2001,0
"result.867",2001,0
"result.868",2001,0
"result.869",2001,0
"result.870",2001,0
"result.871",2001,0
"result.872",2001,0
"result.873",2001,0
"result.874",2001,0
"result.875",2001,0
"result.876",2001,0
"result.877",2001,0
"result.878",2001,0
"result.879",1668,0.736205964642973
"result.880",2001,0
"result.881",2001,0
"result.882",2001,0
"result.883",2001,0
"result.884",2001,0
"result.885",2001,0
"result.886",2001,0
"result.887",2001,0
"result.888",2001,0
"result.889",2001,0
"result.890",2001,0
"result.891",2001,0
"result.892",2001,0
"result.893",2001,0
"result.894",2001,0
"result.895",2001,0
"result.896",2001,0
"result.897",2001,0
"result.898",2001,0
"result.899",2001,0
"result.900",2001,0
"result.901",2001,0
"result.902",2001,0
"result.903",2001,0
"result.904",2001,0
"result.905",2001,0
"result.906",2001,0
"result.907",2001,0
"result.908",2001,0
"result.909",2001,0
"result.910",929,0.291387946965463
"result.911",2001,0
"result.912",2001,0
"result.913",2001,0
"result.914",2001,0
"result.915",2001,0
"result.916",2001,0
"result.917",2001,0
"result.918",2001,0
"result.919",2001,0
"result.920",2001,0
"result.921",2001,0
"result.922",2001,0
"result.923",2001,0
"result.924",2001,0
"result.925",2001,0
"result.926",2001,0
"result.927",2001,0
"result.928",2001,0
"result.929",171,0.153249014449489
"result.930",2001,0
"result.931",2001,0
